market,market_id,exchange,asset,symbol,maturity,date,samples,impliedApr,markApr,ammImpliedApr,latestSettlementApr,settlementApr,realizedDailyApr,realizedForwardApr,forwardDaysUsed,dailyBasisApr,forwardBasisApr
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-01-28,24,0.1100805566431541,0.11010376923597344,0.11008242830521918,0.0668067165,0.059409590000000005,0.059409590000000005,0.07214713158064463,31,0.05067096664315409,0.03793342506250946
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-01-29,24,0.10821160348038728,0.10786031281619746,0.10834087820014643,0.0450616225,0.052458749,0.052458749,0.07257171629999941,30,0.055752854480387276,0.035639887180387866
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-01-30,24,0.10900137016412027,0.10907994272364001,0.1090106101093302,0.12104502299999999,0.12104502299999999,0.12104502299999999,0.07326526689655125,29,-0.012043652835879715,0.03573610326756903
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-01-31,24,0.10948670182052472,0.109514449389161,0.10948670182052472,0.11087663399999999,0.11087663399999999,0.11087663399999999,0.07155884703571402,28,-0.0013899321794752645,0.0379278547848107
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-01,24,0.10554565295383565,0.10552061710765505,0.10544959999504751,0.0821488345,0.0821488345,0.0821488345,0.07010263270370369,27,0.02339681845383565,0.03544302025013196
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-02,24,0.10030280600163176,0.10041741558397131,0.10042113887935511,0.075276067,0.075276067,0.075276067,0.06963931724999985,26,0.025026739001631756,0.030663488751631912
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-03,24,0.10333748593874115,0.10332038623275641,0.1033827728539118,0.10270808,0.10270808,0.10270808,0.06941384725999968,25,0.0006294059387411538,0.03392363867874147
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-04,24,0.10630034227317559,0.10604460536326688,0.10638737033647855,0.102972997,0.1027184095,0.1027184095,0.06802658756249969,24,0.003581932773175589,0.0382737547106759
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-05,24,0.10827117795355684,0.108267976135471,0.10827117795355684,0.1410996195,0.141354207,0.14135420699999998,0.06651824747826056,23,-0.03308302904644314,0.04175293047529628
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-06,24,0.10717412246594693,0.10708882486584921,0.10712259510330573,0.108874682,0.108874682,0.108874682,0.06311661295454485,22,-0.00170055953405307,0.04405750951140208
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-07,24,0.1073466693131926,0.10739684963704112,0.10738351838452737,0.09497245250000001,0.09497245250000001,0.09497245250000001,0.06093765728571333,21,0.01237421681319259,0.046409012027479275
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-08,24,0.10821355487507846,0.10803191742746225,0.10811706678546928,0.10405029449999999,0.10405029449999999,0.10405029449999999,0.059235917524998884,20,0.00416326037507847,0.048977637350079574
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-09,24,0.10728688718574436,0.10720905394183049,0.10728688718574436,0.105258554,0.105258554,0.105258554,0.05687726610526206,19,0.0020283331857443576,0.0504096210804823
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-10,24,0.10771290372174687,0.10771290372174687,0.10771290372174687,0.1095,0.1095,0.1095,0.05418941677777648,18,-0.0017870962782531308,0.05352348694397039
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-11,24,0.10875906629357862,0.10887764987632031,0.10875906629357862,0.12305606349999999,0.12305606349999999,0.12305606349999999,0.05093585305882233,17,-0.014296997206421372,0.05782321323475629
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-12,24,0.10861239411753469,0.1085126851904164,0.10861239411753469,0.104423653,0.104423653,0.104423653,0.04642833990624862,16,0.004188741117534686,0.062184054211286074
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-13,24,0.10725038227963853,0.1068593931726306,0.10722561871954624,0.087635697,0.087635697,0.087635697,0.042561985699998674,15,0.019614685279638527,0.06468839657963985
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-14,24,0.10730433991345058,0.10682710990819684,0.10731065036403743,0.0957701965,0.0957701965,0.0957701965,0.039342434892856,14,0.011534143413450576,0.06796190502059457
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-15,24,0.10734273261284742,0.10708081486593375,0.10734273261284742,0.10019071149999999,0.10019071149999999,0.10019071149999999,0.03500183784615274,13,0.007152021112847434,0.07234089476669468
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-16,24,0.09712972720406317,0.09703563777670753,0.09699068259337436,0.009098428,0.009098428,0.009098428,0.029569431708331706,12,0.08803129920406316,0.06756029549573146
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-17,24,0.09731633514413686,0.09757004996260753,0.097439270055107,0.1095,0.1095,0.1095,0.031430432045452636,11,-0.012183664855863141,0.06588590309868422
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-18,24,0.09521494070847054,0.09568865136017524,0.09518954609373609,0.0775706395,0.0705113935,0.0705113935,0.023623475249998194,10,0.02470354720847054,0.07159146545847235
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-19,24,0.08894253282568008,0.0889572304977748,0.08879929937074243,0.090821417,0.09788066299999999,0.09788066299999999,0.018413706555553706,9,-0.008938130174319908,0.07052882627012638
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-20,24,0.08121234062467415,0.0814647634600211,0.08111884887361577,0.021696038,0.021696038,0.021696038,0.008480336999998173,8,0.05951630262467415,0.07273200362467598
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-21,24,0.0860282215322941,0.08613223682191501,0.08613223682191501,0.1095,0.1095,0.1095,0.006592379714283376,7,-0.0234717784677059,0.07943584181801072
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-22,24,0.085383804323518,0.08536118248375413,0.08534503834719104,0.107159693,0.107159693,0.107159693,-0.010558890333335569,6,-0.021775888676482003,0.09594269465685357
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-23,24,0.06412778630683928,0.06549209118325681,0.07125079711089082,0.017142298,0.007215940499999999,0.0072159405,-0.03410260700000265,5,0.05691184580683928,0.09823039330684194
51-HYPERLIQUID-HYPE-27FEB2026,51,Hyperliquid,HYPE,HYPE,2026-02-27,2026-02-24,24,0.07505984779872409,0.07521584174875486,0.07499341791176549,0.004486178499999999,0.005135513499999998,0.005135513499999998,-0.04443224387500422,4,0.06992433429872409,0.1194920916737283
